content,rating,sistem,layanan,transaksi,pendaftaran subsidi,kebermanfaatan
"Aplikasi yg membantu dengan pembayaran elektronik... cashless krena tidak perlu lg ambil uang ke atm dan tidak perlu terima kembalian uang lg. Antrian di spbu jg lebih cepat dan pendek. Petugas spbu jg tidak perlu menyiapkan kembalian atw memegang lembaran uang bnyak. Semua tinggal scan barcode, masukkan pin dan petugas spbu membantu mngisi bensin kendaraan. Thanks...",5,1,0,1,0,1
"semalam saya daftar, tadi pagi saya diingatkan masih kurang data STNK lembar bayar pajak. Tadi sebelum dzuhur saya upload ulang data STNK. Jam 16.20 saya dapat email lagi yang menyatakan saya mendapatkan fasilitas subsidi solar. Tinggal download QR yaa.... Tks Pertamina.",5,0,0,0,1,0
"Aplikasi yang banyak bantu, mudah dan banyak metode pembayaran nya",5,1,0,1,0,1
Aplikasi Sangat membantu dalam pengisian bbm bersubsidi,5,1,0,0,0,1
Sangat sulit untuk mendaftar,5,0,0,0,-1,0
Bagi para pengguna Subsidi kami Mohon Di zpermudah Daftarw nya sih Di aplikasi ini ya . Jangndi bikin Ribed. SudahNegara nya ribed2 . Dibikin Susah juga.,5,0,0,0,-1,0
"Mengikuti zaman, di tuntut untuk maju",5,0,0,0,0,0
Sepertinya indonesia makin maju dengan digitalisasi ini,5,0,0,0,0,1
Untuk saat ini solar masih susah di dapat,5,0,0,0,0,0
Cepat diakses dan direspon.Trim,5,0,1,0,0,0
Mantap aplikasi berjalan lancar,5,1,0,0,0,0
Teramat susah untuk aplikasinya sehingga agak merepotkan,5,-1,0,0,0,0
Aplikasinya Mubajir gak ada manfaat permasalah verifikasi aja kak ada jawaban.. Pengifutan sdh selesai.. Gitu d isi nomor KTP..Nomor Polisi kendaraan tdk terdaftar.. Sementara d STNK saya jenis BBMnya solat tapi kok bisa d computer SPBU pertalit.. Sebaiknya d SPBU itu d siapkan utk pengaduana aplikasi My pertamina.,5,0,0,0,-1,-1
"Bagus aplikasinya biasa bayar SPBU lewat hp, tolong untuk menambahkan metode pembayaran yang terhubung lewat dana & shopeepay di aplikasi mypertamina terima kasih.",5,1,0,1,0,0
Saya pakai hanya untuk pembayaran beli Pertamax. So far so good sih. Paling kesiapan petugas di SPBU aja yang belum merata. Beberapa kali ditolak menggunakan myPertamina sama petugas SPBU dengan berbagai alasan.,5,0,0,1,0,0
"Entah kapan mulai diberlakukan pembatasan isi petralite berdasarkan cc mobil,,,masih banyak mobil2 mewah yg isi petralite",5,0,0,0,0,0
Akses cepat dan mudah dlm pendaftaran Thankyou,5,0,0,0,1,0
Sudah terdaftar tapi barkot tidak muncul.,5,0,0,0,1,0
Dengan adanya peraturan yang saat ini Tolong jangan adanya upgrade upgrade karena repot kalau sudah terdaftar ya sudahlah,5,0,0,0,1,0
"pertama dafatarin kendaraan lumayan ribet, tapi ahirnya di acc juga",5,0,0,0,1,0
"Terimakasih update nya...tapi kok jadi telat konfirmasi pembayaran yg di integrasikan pakai link aja...jadi kepotong 2x di link aja, tapi di my pertamina tercatat 1x..mohon dapat dibantu..",5,1,0,-1,0,0
Tidak terbuka sdh 2 hari buka aplikasi mypertamina sampai dgn skrng tdk akan terbuka,5,-1,0,0,0,0
Sangat bermanfaat simpl jadi mudah..!!,5,0,0,0,0,1
Mantap subsidi harus tersalurkan dengan benar...dan tepat sasaran.semoga pertamina selalu mendapat kan keuntungan .terima kasih,5,0,0,0,0,1
"sementara entri lancar, login aman selama jaringan OK, pendaftaran sesuai regulasi, menu qr terlalu jauh",5,1,0,0,1,0
saya udh daftar tapi di tolak trus lantas saya mau gimna kerja jalan jauh hrus isi solar malah susah klo blm daftar my pertamina.. tolong lah jangan di persulit kita yang bodo gak tau apa2 hanya kerja kerja buat isi solar pun rumit seperti ini.. udh daftar berulang ulang masih saja di tolak,5,0,0,0,-1,0
"Kode OTP yg dikirim lewat SMS ternyata agak delay. Itu yg membuat sebagian pengguna susah login untuk pertama kali. Tulisan ""Kode OTP yg Anda masukkan salah"" karena memang bukan OTP yg terbaru. Jd saran buat pengguna tunggu dulu muncul SMS berikutnya, buat aplikasinya tingkatkan lagi kecepatan SMS. Trims",5,-1,0,0,0,0
tidak bisa daftar subsidinya jadi saya datang aja ke outlet terdekat ,5,0,0,0,-1,0
"Aplikasi yg bagus,cm.kadang barcode dispbu suka nggak bisa dibaca oleh hp kami mesti berulang ulang.mohon lebih ditingkatkan lagi diselùruh Indonesia.",5,1,0,0,0,0
update berhasil terimakasih atas respon cepat oleh cs,5,1,1,0,0,0
"Aplikasi ini sangat bagus dan mudah di gunakan,tapi sayang TDK semua SPBU mau melayani my pertamina.kepada pihak Pertamina tolong agar setiap spbu di kota Makassar siap melayani my Pertamina,selama ini pihak SPBU selalu beralasan TDK ada alat atau gangguan jaringan lah,pokoknya alasan untuk TDK melayani my Pertamina bertubi-tubi.",5,1,0,0,0,0
"Lebih memberikan kenyaman pada penggunanya, cukup bagus",5,0,0,0,0,1
tolong tingkatkan lagi aplikasinya.. jadikan yang terbaaiiikkkkkkkkk,5,0,0,0,0,0
Aplikasi gak jelas mendingan buang aja aplikasi nya aplikasi tidak berguna,5,-1,0,0,0,-1
"MyPertamina sangat membantu di lapisan masyarakat,utamanya saya pribadi merasakan pengguna BBM subsidi dari Pemerintah Indonesia. Berjaya lah Negara Indonesia Tercinta.Terima kasih😘💕",5,0,0,0,0,1
tampilan bagus semoga jadi yang terbaikla pertamina tingkatkan terus,5,1,0,0,0,0
"Sangat membantu, tepat sasaran, mobil mewah minggir!!!",5,0,0,0,0,1
"Saya pengguna Roda 2, penggunaan MyPertamina sebenarnya mudah. Alhamdulillah dari awal daftar sampai penggunaan pun juga gampang, cuman ada beberapa masukan (1) Beberapa SPBU masih menolak untuk membayar menggunakan MyPertamina (mungkin karena saya bukan pengguna yang 'wajib' menggunakan kali ya... (2) saya berharap kelak ada proses yang lebih simpel, seperti setelah di set oleh operator dan diisikan BBM-nya, kalau bisa QR-nya langsung keluar... Tanpa kita menunggu operator untuk input manual",5,1,0,-1,0,0
"App tsb sdh sangat mendukung transaksi non tunai, tp ada bbrp SPBU masih bayar dlu baru isi BBM, bukannya kebalikan berapa ril di Isi baru bayar, 🙏",5,0,0,1,0,0
"Semenjak ada jalur khusus bayar pakai aplikasi ini, pengisian jadi lebih cepat dan simpel tanpa antri panjang lg.. terima kasih.. sukses selalu",5,0,0,1,0,0
"Sangat membantu untuk keperluan pembelian bensin. Sistem kecepatan proses pembayarannya sudah ada peningkatan dari men-scan QR hingga keluarnya struk. Program event & promonya ok. Saran, mohon untuk alat pembayaran bisa ditambahkan jenis e-wallet lainnya agar lebih fkexible & ditingkatkan kecepatan untuk aplikasinya. Thanks.",5,0,0,1,0,1
"Inovasi yg bagus, memudahkan pembayaran tanpa uang fisik (cashless) Penggunaan mudah, tampilan dan fitur menarik",5,1,0,1,0,0
"Aplikasi ini sangat membantu dan subsidi tepat guna sangat membantu masyarakat /rakyat kecil , apalagi pada momen kondisi ekonomi saat ini yg tidak menentu pasti sangat membantu. Demikian terimakasih......",5,1,0,0,0,1
Sangat terbantu.. gk perlu lama2 antri smenjak pake ni aplikasi.. biasa ny males nunggu antrian yg lama.selalu beli eceran skrng dah gk repot lg buat antrian👍,5,0,0,0,0,1
"Aplikasi yg mudah, sangat bermanfaat 👍🏻 bisa dapet point dari setiap pembelian bbm jg loh ☺️ point nya bisa ditukar berbagai macam hadiah 👍🏻👍🏻👍🏻",5,1,0,0,0,1
"Alhamdulillah selama ini pelayanan pom bensin memuaskan, tapi sekarang harus antri lama padahal kebanyakan kayanya diburu waktu jam kantor. Termasuk saya",5,0,1,0,0,0
Sangat membantu dalam proses transaksi Non tunai di SPBU serta banyak sekali Event2 dan promo menarik untuk konsumen,5,0,0,1,0,1
"Sulit parah.., sudah 20x coba daftar Selalu gagal parah.. Kasih bintang 5 super sulitnya sangat parah. Dari parah terparah",5,0,0,0,-1,0
"Pertamina dengan adanya aplikasi lebih membantu dalam transaksi dan mempermudah,terutama bagi generasi muda dan mileneal",5,0,0,1,0,1
Siiiiiplah tolong perbaiki lagi serta barcode bila dah terdaftar lebih dari sebulan blm nongol juga,5,0,0,0,0,0
sudah terdaftar ternyata mudah daftarnya walau harus nunggu 2 minggu juga semoga dipercepat,5,0,0,0,1,0
Untuk dptkan barcode susah amat,5,0,0,0,0,0
Prosesnya sangat detail,5,1,0,0,0,0
"Aplikasi sudah oke,,,, Namun jaringan internet dan pelayanan di SPBU yg mnyebabkan antrian panjang,,,,,",5,1,0,0,0,0
Aplikasi sangat membantu dan cukup mudah penggunaannya.,5,1,0,0,0,1
Daftar dan menghubungkan ke link aja cepat ga nyampe 5 menit 👍🏻👍🏻 semoga untuk kedepan ga ada kendala,5,0,0,1,0,0
"Bantuannya untuk instal dan update aplikasi di appgallery, karena hanya Bisa di googleplay",5,0,0,0,0,0
"Bagus,banyak promo dan discountnya serta mudah digunakan",5,0,0,1,0,1
"Masih sering tidak dapat point, dan tidak muncul di daftarpembelian",5,0,0,-1,0,0
Coba dong jangan bikin ribet .. singkat aja terlalu bertele tele,5,0,0,0,0,-1
Sangat membantu walaupun ada kendala jaringan namun ditengah pandemi covid 19 bisa membantu dlm bertransaksi tanpa bersentuhan langsung. Walau terkadang juga petugas spbu nggak bisa mengoprasikannya. Mungkin karena malas atau jaringan lelet.,5,-1,0,0,0,1
"Mudah dan praktis, tanpa perlu uang tunai dan banyak keuntungan cashback, tapi sayangnya belum semua SPBU dapat menerima pembayaran dengan linkaja atau my Pertamina, bahkan masih ada invoice manual. Jadi applikasi ya bagus tapi aplikatornya kurang.",5,1,0,1,0,1
"Thanks mypertamina,barcode sudah keluar,ternyata gampang edit nya klu ditolak.Sekarang kalau keluar kota sudah gag was was lagi ditolak spbu.",5,1,0,0,0,0
Belum bisa masuk ke aplikasinya,5,-1,0,0,0,0
"Sangat baik tidak perlu anteri terlalu lama,klu bisa perbanyak spbu yg bisa bayar pake mypertamina, 😎😎😎😎😎👌👌👌",5,0,0,0,0,1
"Bagus,hanya agak sulit utk akses pembaharuan aplikasi baru",5,-1,0,0,0,0
Sudah daftar di My Pertamina tapi belum muncul barcodenya.. Alhamdulillah tetap bisa beli bio solar dan dilayani di semua SPBU.. 👍👍,5,0,0,0,1,0
"Aplikasi yang bermanfaat dan top guna. Sejauh ini lancar tanpa hambatan. Pernah abis bensin gk bawa cash, sambil antre topup aja lah.. Udah selesai isi ,scan bayar, jalan.. simple, praktis plus dapat cashback mayan buat jajan.. Lebih oke kalau tuker point jangan tinggi2 lah, lama ngumpulnyaa..",5,0,0,1,0,1
Saya pakai hanya untuk pembelian bbm. So far so good. Saran untuk struk pembayaran di SPBU mungkin bisa dibikin lebih kecil. Yang sekarang terlalu besar (3x struk Sh*ll).,5,0,0,1,0,0
Sangat bagus sih tp ada iklan nya,5,0,0,0,0,1
Mudah dan akurat,5,0,0,0,0,1
Sangat puas pengisian lebih cepat tidak ngantri lg mantap,5,0,0,1,0,0
"Kenap aplikasiny eror, masa saya udah terdaftar subsidi, tau tau barkod nya ilang, udah d coba ikutin petunjuk, nik plat nomor sudah terdaftar, tolong perbaiki, lihat email saya. Trakasih",5,-1,0,0,0,0
"layanan cepat respon cs juga cepat, jadi lebih mudah transaksi bbmnya",5,0,1,1,0,0
Pendaftaran program BBM bersubsidi terlalu ribet... Gagal terus,5,0,0,0,-1,0
"Perlu diperbaiki sepertinya review-nya tidak ada yang bagus , pelayanan perlu ditingkatkan, saya sudah lama pakai My Pertamina sejak 2018, poin saya juga hilang tanpa ada ganti atau konfirmasi sejak jamannya foto pakai bukti struk, sekarang harus scan . Tanpa pelayanan yang bagus, tanpa penawaran . Kuning lebih bagus dari penawaran dan pelayanan , pernah isi terus bayar pakai kartu debit dapat voucher gratis 15.000 untuk transaksinya selanjutnya. Pasarnya lebih besar padahal",5,0,0,-1,0,0
Membingungkan ... 1. banyak mobil yg sudah terdaftar dengan subsidi yang bukan kebutuhan nya padahal mereka belom daftar CONTOH nya banyak kendaraan BBM pertalite tp sudah terdaftar sebagai penerima subsidi bio solar begitupun sebalik nya jadicmenyebabkan kericuhan si SPBU ... 2. Buat yg sudah punya barcode sesuai tapi sering berkendala pada saat pengisian dengan laporan ( nopol yang di input sedang melakukan pengisian ) sehingga harus menunggu beberapa menit dulu baru bisa melakukan pengisian,5,0,0,0,0,0
"Saat BBM harus di isi namun tidak membawa uang tunai, tapi ingat ada aplikasi MyPertamina yang sudah ada, sehingga tidak kehabisan bahan bakar di jalan. Jadi bagi yang punya kendaraan wajib download MyPertamina, apalagi semua serba digital kita jarang membawa uang tunai yang cukup. Jadi aplikasi ini mempermudah dan tidak sulit di gunakan juga aman. Ini pengalaman saya. GBU",5,0,0,0,0,1
"ketika migrasi dari mobile cash ke layanan link aja, sy kecewa karena kartu tidak bisa dipergunakan lagi. sama simplenya memang dengan menggunakan barcode Link Aja, namun bukankah ini adalah contoh yang kurang baik karena mengeluarkan Hp ketika sedang mengisi bahan bakar ke kendaraan? bila pertimbangan efisiensi banyak kartu dikeluarkan, harusnya pengguna lama masih tetap bisa menggunakan kartu. Dan sering sekalui gangguan meggunakan Link Aja. sy sdh top up namun byar cash terus. percuma sj 🙏🏻",5,0,0,-1,0,0
Tiada kendala atau kekurangan...cuma di spbu untuk bbm nya kadang sering kosong...belum semua memakai pembayaran my pertamina,5,0,0,0,0,0
"Aplikasi Yang sangat mudah, gak perlu bawa uang Tunai pakai ini pun bisa membayar di SPBU, pelayanan menjadi lebih mudah Apalagi setiap transaksi Dapat Poinn bisa buat tukar Voucher BBM atau Voucher Makan. Mantap pokoknya👍👍👍🤭. Untuk kedepan lebih ditingkatkan lagi, untuk dompetnya lebih baik di Aplikasi nya saja jangan di Dompet LINK aja. Kadang masih terjadi Error. Selebihnya sudah Bagus, seneng banget pake Aplikasi ini Terimakasih My Pertamina. 😘",5,0,0,1,0,1
sangat mempermudah mengisi BBM subsidi,5,0,0,1,0,0
saya pakai aplikasi ini sudah 3 mobil yang saya daftarkan pakai 1 ktp ... sudah di verifikasi,5,0,0,0,1,0
"Jika boleh berpendapat, mungkin soal masalah yg terjadi pada mas""/mbak""nya ( peng-upload'an gagal dll ) mungkin itu di karenakan crass/strak data pada waktu peng-upload'an tersebut. Di karenakan banyaknya antusiasme masyarakat yg ikut dalam event PERTAMINA ini. Maka waktu peng-upload'an segitu banyaknya dan dalam waktu bersamaan, bisa menyebabkan crass/strak, sehingga data base/sistem server tidak mumcukupi/belum di upgrade. Dan event ini tergolong masih baru dan bermanfaat ini. Terima Kasih",5,0,0,0,0,0
Cara bayar lebih cepat dan simpel...ok,5,0,0,1,0,0
Belum bisa verifikasi ap penyebabnya,5,0,0,0,-1,0
"perhatikan !!!!!! seharusnya pertalite hny utk motor maksml 150cc.karna mobil semurah2nya tetep barang mewah. DAN masih banyak mobil pd isi bbm pertalite full.sampai rumah di jual eceran,/di jual dngn di oplos di pertamini yg warung kelontong. TOLONG DI ANTISIPASI.",5,0,0,0,0,0
Oke Mantap.. semakin banyak promo nya. Di tensaksi Pertamax nya..,5,0,0,1,0,0
daftar nya sukses tpi blum dpt barkode,5,0,0,0,1,0
"Sangat membantu dalam memantau penggunaan BBM. Pembayaran dengan LinkAja juga cukup untuk mempercepat transaksi. Tidak harus nunggu kembalian/gesek kartu. Akan lebih baik lagi jika ada menu lapor SPBU yg pelayanan nya kurang baik. Sebaiknya juga koneksi antara My Pertamina dengan LinkAja lebih dipercepat. Kadang prosesnya sangat lama, sehingga terpaksa pakai tunai/kartu. Sebaiknya pula, bisa akses riwayat pembelian BBM bulan sebelumnya.",5,0,-1,1,0,1
Mungkin bisa di perbaiki/di minimalisir untuk penggunaan jaringan di aplikasi ini. Masih terlalu bnyak masalah. Sering timbul time out. Kalo terlalu sering lama lama bosan pake aplikasi ini,5,-1,0,0,0,0
"Aplikasi my pertamina membantu sekali, bagus dan mudah di pakai. Gak cuma itu aja aplikasi ini juga bisa mempermudah kita dalam pembayaran di SPBU, jadi gak perlu lagi tuh pake uang kertas karna di tengah pandemi kaya gini pembayaran online bisa mengurangi penyebaran virus corona lewat uang. Keren kan aplikasinya, dan yang lebih WOW nya lagi kita bisa dapet poin dari setiap transaksi kita. Poinnya di kumpulin nanti kalau sudah terkumpul bisa kalian tukarkan deh. Keren kan, yuk buruan download..!",5,1,0,1,0,1
"Apikasi inovatif, terintegrasi dengan linkaja untuk pembayaran secara cashless, fitur lengkap dengan integrasi google map untuk informasi spbu terdekat banyak promo dan undian menarik. Harapan kedepan agar server untuk melayani pembayaran pembelian bbm via mypertamina lebih diperbaharui karena ada beberapa kejadian gagal melakukan pembayaran via mypertamina dengan keterangan server error. Maju terus & semangat untuk perubahan yang lebih baik.",5,1,0,1,0,0
Pertamina hrs lebih perhatikan spbu dikota kota kecil yg msh semrawut pelayanan dan fasilitasnya,5,0,0,0,0,0
ui bagus dan fitur juga menarik,5,1,0,0,0,0
"Sangat membantu, saya daftar langsung jadi, barcode pun bisa di gunakan di pom bensin",5,0,0,0,1,1
Pelayanannya bagus pertalite. Tp sempat mendaftar tp prosesnya bbm susidi blm memperoleh,5,0,1,0,0,0
sanagt mantap...ini aplikasi benar2 membantu utk cepat bereaksi apapun siiip,5,0,0,0,0,1
"Aplikasi ini sdh di isi dg saldo link, tp mau bayar tdk tersedia barcode scan pembayaran",5,0,0,-1,0,0
"Aplilasi saya tida bisa registrasi padahal sudah terdaftar,, bagai mana cara nyh mohon solisi nyh",5,0,0,0,0,0
aplikasi mudah dan sangat bermanfaat..keren,5,0,0,0,0,1
Sudah berkalikali tapi gak bisa .gimana caranya,5,0,0,0,0,0
Bagus harus lebih fleksibel dan kemanannya yg baik,5,1,0,0,0,0
Tolong di tanggapi dong. Barusan saya isi pertalite pas minta struk nota . Motor saya tertulis pakai bio solar. Padahal ini motor bukan mobil. Bagaimana kah ini,5,0,0,0,0,0
Mudah dan simpel lebih praktis,5,0,0,0,0,1
Aplilasi pertamina bagus tapi sampai sekarang belum dipergunakan..,5,1,0,0,0,0
"bagus sih, cuma slow respon kalo ada pertanyaan",5,0,-1,0,0,0
daftar sukses dan mudah ternyata daftarnya semoga cpt di acc,5,0,0,0,1,0
Mempermudah dalam pembayaran BBM,5,0,0,1,0,0
"Mantap,pakai barkot,biar mobil langsir tidak seenaknya ngisi do SPBU",5,0,0,0,0,0
Sangat membantu dan berguna,5,0,0,0,0,1
Susah daftar ny .gx bisa masuk ke halaman berikut nya.....,5,0,0,0,-1,0
Bagus banget ya Cuma sulit,5,0,0,0,0,0
Aplikasi ini sangat tidak berguna,5,0,0,0,0,-1
Terus ditingkatkan pelayanannya,5,0,1,0,0,0
"Parah bett mau beli solar pake jerigen dahkaya beli obat""Terlarang padahl surat ijin jelas tiap bulan di perpanjang saya beli bukan minta.. Parah parah rakyat kecil makin sulit idup",5,0,0,0,0,-1
Mantaap dan cepat,5,0,0,0,0,1
daftar susah masuk,5,0,0,0,-1,0
Semoga pelayanan lebih baik lagi,5,0,1,0,0,0
enak yg sebelum nya gak ribet,5,0,0,0,0,0
sistem bagus dan baik,5,1,0,0,0,0
"Buat pertamina, sistemnya bagus fitur lengkap",5,1,0,0,0,0
"Alhmdulillah pembayaran mudah dan simpel, sukses buat pertamina",5,0,1,0,0,0
"Meypetamna oke segala urusan mudah, tampilan menarik dan bagus",5,1,0,0,0,0
Ini sangat sulit sekali saya sudah seminggu tidak bisa login my pertamina.....,5,-1,0,0,0,0
Data belum lengkap daftar my pertamina sulit mbulet,5,0,0,0,-1,0
Pelayanan bagus,5,0,1,0,0,0
"Dikasi tau tmen buat install apps ini, bener2 bermanfaat bisa cek lokasi terdekat dan pembayaran bagus bisa via link aja jadi ga susah kalau ga bawa uang cash banyak informasi dan poin juga setiap pembayaran. Like it",5,0,0,1,0,0
Apl sangat rumit meyusahkan orang kecil yg belajar mandiri.,5,0,0,0,0,-1
apresiasi untuk pertamina karena sudah membuat program yg menarik.,5,1,0,0,0,0
Kasihan ratingnya 2.7 saya kasih bintang 5. Cuma pake mypertamina memang JD report bukan cepat. Banyak errornya pula,5,-1,0,0,0,0
bagus aplikasinya....saya langanan order pertamina diaplikasi ini.kalian yang gak bisa saja susah mengaplikasikannya....semoga my pertamina bertambah maju...,5,1,0,0,0,0
menyusahkan masyarakat . Lanjutkan ♥️,5,0,0,0,0,-1
"sangat bermanfaat, apalagi pembayaran mudah",5,0,0,1,0,1
"Aplikasinya bagus dan memudahkan pelanggan sebenarnya saya sangat mengapresiasi. Tapi untuk prakteknya dilapangan belum maksimal karena kebanyakan spbu sering alasan lagi error tidak bisa transaksi bayar via mypertamina. Dan keuntungan, bonus untuk konsumen belum bisa dirasakan.",5,1,0,-1,0,1
"Saat ini saya tidak bisa membuka aplikasi karena setiap saya buka minta diupdate ke versi terbaru, tetapi setelah masuk ke playstore aplikasi tidak bisa diupdate. Minta tolong diinvestagasi masalah ini, kawatirnya ada yang sengaja mengganggu system untuk mencari keuntungan sendiri. Kami tunggu follow up nya. Terimakasih.",5,-1,0,0,0,0
"Aplikasinya lancar digunakan, scan struk juga gampang dan mudah . Untuk pengguna lain pakai aplikasi ini jangan hanya untuk mendapatkan hadiah saja, tapi giliran pas ngasih ulasan yg kacau ngga jelas. Pertamina pasti niat ngasih hadiah. *nyindir. Tingkatkan terus kinerja aplikasi ini maju PT. PERTAMINA (PERSERO)",5,1,0,1,0,0
sangat membantu thx pertamina,5,0,0,0,0,1
"Sediakan menu untuk upload struk secara manual,masalahnya terkadang di beberapa spbu struk tidak jelas ketika di scan struk pembeliannya tidak terbaca dan ada notif struk bukan termasuk pembelian bbm dan tidak keluar menu uoload manual",5,-1,0,-1,0,0
"Namanya aplikasi, masih ada kurang tapi ada juga kelebihannya. My pertamina lumayan membantu sih, bisa pantau pengisian bbm kendaraan saya biar gak over budger. Semoga ke depannya lebih bagus lagi, lebih banyak spbu yg bisa pake apk ini",5,0,0,0,0,1
Applikasi mantaap....!! Kalau ada fitur untuk entry indikator kilometer (km) pastiblebih mantap lagi krn bisa digunakan utk menghitung konsumsi rata2 bbm kendaraan.,5,1,0,0,0,0
"Selalu minta update mulu, setiap kali mau scan kopun selalu tidak terbaca harus infut manual dulu kata nya padahal kan fotonya sudah sangat jelas... Dan jatah untuk scan bbk nya cuma 3 perhari tp kalo ada yg salah infut scan nya malah berkurang",5,0,0,-1,0,0
"Di beberapa SPBU terkadang aplikasi nya masih error, loading lama untuk membuka barcode, tidak bisa dipake untuk pembayaran, semoga bisa diperbaiki aplikasi di spbu nya",5,-1,0,-1,0,0
"Setelah aplikasi di upgrade ke persi yang lebih baru, struk transaksi jadi tidak bisa di upload, tidak ada jaringan internet katanya, padahal internet normal normal saja., tolong segera diperbaiki.",5,-1,0,-1,0,0
